WZ_CD,Emp_2011,Empl_SIC_A,Empl_SIC_B,Empl_SIC_C,Empl_SIC_D,Empl_SIC_E,Empl_SIC_F,Empl_SIC_G,Empl_SIC_H,Empl_SIC_I,Empl_SIC_J,Empl_SIC_K,Empl_SIC_L,Empl_SIC_M,Empl_SIC_N,Empl_SIC_O,Empl_SIC_P,Empl_SIC_Q,Empl_SIC_RS,Empl_SIC_T,Empl_SIC_U
E33032357,259,0,0,1,0,1,14,10,0,10,6,6,2,9,8,1,146,33,12,0,0
E33032358,592,0,0,13,0,0,39,110,36,45,35,9,23,97,29,1,26,86,42,0,1
E33032359,363,0,1,8,1,0,38,25,15,12,34,8,14,62,34,6,18,55,30,2,0
E33032360,260,0,0,8,0,2,15,20,9,21,23,21,19,44,19,3,17,11,25,3,0
E33032361,333,0,1,7,1,0,18,28,9,9,29,16,12,55,19,8,29,69,22,1,0
E33032362,246,0,0,5,0,0,20,24,1,7,21,0,16,26,10,72,10,11,21,2,0
E33032363,423,0,0,9,2,0,77,26,19,14,7,2,3,13,36,10,134,37,30,4,0
E33032364,430,0,0,2,0,6,129,41,24,24,14,3,2,18,42,12,45,42,22,4,0
E33032365,830,1,0,13,3,4,111,94,17,23,73,33,34,133,58,18,87,60,65,3,0
E33032366,710,1,0,18,0,2,17,413,59,13,9,6,15,19,11,5,15,73,34,0,0
E33032367,427,0,0,7,1,5,53,30,14,5,11,2,1,14,27,2,230,13,11,1,0
E33032368,375,1,0,7,1,1,39,47,15,19,20,9,11,44,23,6,56,36,39,1,0
E33032369,494,0,0,10,0,0,46,52,49,25,32,11,4,50,30,9,76,55,45,0,0
E33032370,475,0,0,13,0,2,69,73,27,5,84,14,8,49,31,10,28,24,36,2,0
E33032371,267,0,0,6,3,1,31,37,11,9,15,8,6,43,17,2,38,18,20,1,1
E33032372,303,0,0,4,0,2,30,33,58,6,7,70,27,16,21,2,11,9,4,3,0
E33032373,244,0,0,2,0,0,18,39,4,10,12,1,20,13,11,45,9,40,20,0,0
E33032374,283,0,0,5,0,1,31,16,4,10,17,5,5,21,15,5,32,26,87,3,0
E33032375,352,0,0,10,0,0,51,25,4,23,26,5,3,39,39,10,37,48,29,3,0
E33032376,757,0,0,12,1,8,88,234,44,31,18,20,9,29,44,7,43,104,64,1,0
E33032377,475,0,0,3,1,0,112,29,14,13,17,9,5,17,45,8,130,52,15,5,0
E33032378,464,1,0,14,1,0,110,54,22,18,21,10,6,9,44,14,75,43,19,3,0
E33032379,1703,0,1,15,0,1,101,106,24,31,28,10,10,28,78,104,33,1098,30,4,1
E33032380,274,0,0,10,0,0,14,25,38,8,10,3,11,25,15,0,78,19,18,0,0
E33032381,309,0,0,5,0,1,31,57,26,19,11,11,17,33,19,3,11,46,18,1,0
E33032382,577,0,2,15,1,4,43,132,23,46,17,15,8,36,16,6,120,52,37,4,0
E33032383,389,0,0,11,3,0,59,36,13,19,24,9,11,27,23,11,24,31,79,7,2
E33032384,339,0,5,6,1,2,23,29,3,19,21,12,6,41,8,8,50,40,53,11,1
E33032385,393,0,0,11,1,0,39,33,6,7,24,9,20,29,28,3,136,18,14,13,2
E33032386,514,1,0,12,0,0,28,170,9,18,38,12,4,34,18,13,46,77,32,1,1
E33032387,431,0,0,16,0,2,35,37,25,11,9,5,6,13,21,8,157,61,24,0,1
E33032388,382,0,0,5,0,1,44,74,15,15,10,14,13,11,26,12,109,17,12,3,1
E33032389,543,1,0,5,3,1,31,17,13,17,20,6,4,27,14,7,330,28,17,2,0
E33032390,310,0,0,8,0,1,48,29,17,25,4,4,27,15,24,18,31,35,24,0,0
E33032391,406,0,0,6,0,2,143,25,10,18,6,3,2,10,26,12,19,104,16,4,0
E33032392,766,1,0,66,2,1,48,264,12,16,34,10,10,172,33,9,23,44,18,2,1
E33032393,368,0,2,15,1,1,62,14,11,11,15,3,3,19,15,83,63,41,9,0,0
E33032394,461,0,0,6,0,0,43,24,7,14,14,4,7,15,14,9,45,243,13,3,0
E33032395,409,0,0,8,0,0,51,43,10,19,42,13,10,33,27,14,69,35,33,1,1
E33032396,628,1,0,7,0,0,38,150,29,27,24,18,14,56,20,22,118,44,53,6,1
E33032397,463,0,0,5,0,2,47,36,11,92,19,6,6,15,27,10,23,26,138,0,0
E33032398,331,0,0,8,1,0,27,53,9,26,24,16,11,50,25,1,29,13,31,7,0
E33032399,758,0,0,20,0,0,54,74,12,9,80,32,28,137,68,10,88,124,21,1,0
E33032400,275,0,0,10,1,0,16,31,8,3,19,10,15,46,12,2,33,36,21,12,0
E33032401,410,0,0,8,1,1,27,27,6,7,22,6,7,16,18,7,143,32,75,5,2
E33032402,282,0,0,2,0,0,12,38,5,4,8,4,15,29,13,2,59,49,25,16,1
E33032403,341,0,0,7,1,0,21,35,15,13,22,27,15,108,8,3,19,31,14,1,1
E33032404,375,0,0,25,0,0,24,29,4,11,60,9,4,64,15,1,38,44,40,7,0
E33032405,338,0,0,7,3,1,43,24,7,15,26,6,6,31,19,5,22,100,18,4,1
